Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,rowid,y1
51.0,10.0,35.0,22.0,59.0,13.0,230.0,30.01,30.04,1,1
51.0,10.0,49.0,27.0,43.0,29.0,280.0,29.8,29.82,2,1
51.0,10.0,22.0,-3.0,33.0,17.0,300.0,30.4,30.43,3,1
51.0,10.0,21.0,11.0,65.0,13.0,270.0,30.01,30.04,4,0
51.0,10.0,9.0,-12.0,37.0,24.0,310.0,30.27,30.3,5,0
51.0,10.0,22.0,6.0,50.0,23.0,220.0,30.21,30.23,6,1
51.0,10.0,36.0,20.0,52.0,7.0,230.0,30.47,30.5,7,1
51.0,10.0,37.0,31.0,79.0,11.0,350.0,30.22,30.25,8,1
51.0,10.0,20.0,8.0,60.0,14.0,30.0,30.55,30.58,9,0
51.0,10.0,29.0,20.0,69.0,7.0,360.0,30.16,30.18,10,1
51.0,10.0,30.0,18.0,61.0,14.0,250.0,29.88,29.91,11,0
51.0,10.0,39.0,26.0,60.0,13.0,270.0,29.85,29.88,12,1
51.0,10.0,31.0,8.0,38.0,9.0,330.0,30.04,30.07,13,0
51.0,10.0,34.0,14.0,44.0,7.0,360.0,30.14,30.16,14,0
51.0,10.0,31.0,11.0,43.0,14.0,330.0,30.32,30.34,15,1
51.0,10.0,30.0,8.0,39.0,10.0,30.0,30.0,30.02,16,0
51.0,0.75,26.0,21.0,81.0,20.0,10.0,29.64,29.66,17,1
51.0,10.0,19.0,8.0,62.0,14.0,340.0,29.85,29.87,18,1
51.0,10.0,21.0,4.0,48.0,5.0,360.0,30.27,30.3,19,0
51.0,2.0,33.0,29.0,85.0,8.0,210.0,29.96,29.98,20,1
51.0,1.5,33.0,30.0,89.0,9.0,110.0,29.95,29.97,21,0
51.0,10.0,15.0,3.0,59.0,28.0,310.0,29.96,29.99,22,0
51.0,10.0,23.0,12.0,63.0,9.0,230.0,30.32,30.34,23,0
51.0,10.0,37.0,31.0,79.0,7.0,180.0,29.88,29.9,24,0
51.0,10.0,14.0,0.0,53.0,15.0,320.0,30.21,30.23,25,1
51.0,10.0,28.0,22.0,78.0,18.0,30.0,29.93,29.95,26,1
51.0,10.0,27.0,19.0,72.0,14.0,20.0,30.01,30.04,27,0
51.0,10.0,29.0,18.0,63.0,14.0,10.0,30.03,30.05,28,0
51.0,10.0,27.0,18.0,69.0,0.0,0.0,29.9,29.92,29,0
51.0,10.0,15.0,-5.0,40.0,30.0,310.0,29.93,29.96,30,0
51.0,10.0,20.0,-2.0,38.0,0.0,0.0,30.03,30.06,31,0
51.0,10.0,19.0,9.0,65.0,0.0,0.0,29.93,29.95,32,0
51.0,10.0,25.0,12.0,58.0,17.0,250.0,29.7,29.73,33,0
51.0,10.0,7.0,-16.0,33.0,26.0,300.0,30.01,30.04,34,0
51.0,10.0,37.0,27.0,67.0,10.0,270.0,30.19,30.21,35,0
51.0,10.0,9.0,-10.0,41.0,15.0,330.0,30.38,30.41,36,0
51.0,10.0,23.0,13.0,65.0,9.0,260.0,29.82,29.84,37,1
51.0,10.0,31.0,11.0,43.0,8.0,40.0,30.01,30.04,38,1
51.0,10.0,23.0,5.0,46.0,9.0,360.0,30.16,30.18,39,1
51.0,8.0,31.0,26.0,82.0,7.0,250.0,30.11,30.14,40,0
51.0,10.0,28.0,9.0,45.0,9.0,320.0,30.37,30.39,41,1
51.0,10.0,36.0,32.0,85.0,14.0,230.0,29.8,29.82,42,1
51.0,7.0,41.0,37.0,86.0,8.0,290.0,29.88,29.91,43,1
51.0,10.0,19.0,5.0,54.0,16.0,330.0,30.37,30.4,44,1
51.0,10.0,34.0,24.0,67.0,8.0,240.0,30.11,30.14,45,0
51.0,10.0,35.0,26.0,70.0,0.0,0.0,30.27,30.29,46,1
51.0,0.5,42.0,39.0,89.0,3.0,230.0,29.93,29.95,47,1
51.0,10.0,47.0,18.0,31.0,21.0,310.0,30.09,30.12,48,0
51.0,10.0,35.0,0.0,22.0,8.0,350.0,30.6,30.63,49,1
51.0,10.0,38.0,22.0,53.0,22.0,310.0,30.0,30.02,50,0
51.0,10.0,43.0,35.0,73.0,5.0,190.0,29.74,29.76,51,0
51.0,10.0,34.0,6.0,31.0,20.0,320.0,29.93,29.96,52,0
51.0,10.0,32.0,7.0,35.0,14.0,310.0,30.19,30.22,53,1
51.0,10.0,33.0,8.0,35.0,7.0,50.0,30.34,30.36,54,0
51.0,10.0,28.0,3.0,34.0,11.0,330.0,30.19,30.22,55,1
