Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,rowid,y1
51.0,10.0,66.0,59.0,78.0,0.0,0.0,30.11,30.14,400,0
51.0,10.0,67.0,62.0,84.0,0.0,0.0,30.14,30.16,401,0
51.0,10.0,70.0,66.0,87.0,8.0,230.0,30.06,30.09,402,0
51.0,10.0,75.0,56.0,52.0,6.0,350.0,29.93,29.96,403,1
51.0,10.0,75.0,72.0,90.0,5.0,240.0,30.12,30.15,404,0
51.0,10.0,77.0,74.0,91.0,14.0,170.0,30.19,30.22,405,1
51.0,10.0,78.0,76.0,94.0,8.0,200.0,30.06,30.09,406,0
51.0,10.0,77.0,73.0,88.0,14.0,300.0,29.96,29.98,407,0
51.0,10.0,83.0,73.0,72.0,8.0,300.0,30.03,30.06,408,0
51.0,10.0,78.0,73.0,85.0,5.0,190.0,30.16,30.19,409,1
51.0,10.0,82.0,77.0,85.0,22.0,260.0,29.98,30.0,410,0
51.0,10.0,79.0,68.0,69.0,3.0,80.0,30.01,30.03,411,0
51.0,10.0,76.0,72.0,87.0,5.0,220.0,29.91,29.94,412,0
51.0,10.0,75.0,68.0,79.0,14.0,320.0,29.78,29.81,413,0
51.0,10.0,65.0,48.0,54.0,5.0,20.0,30.22,30.24,414,1
51.0,10.0,70.0,64.0,81.0,7.0,230.0,30.25,30.28,415,1
51.0,10.0,71.0,67.0,87.0,14.0,220.0,30.14,30.16,416,0
51.0,10.0,75.0,72.0,90.0,8.0,190.0,29.96,29.99,417,1
51.0,10.0,74.0,71.0,90.0,8.0,230.0,30.14,30.16,418,0
51.0,10.0,74.0,60.0,62.0,8.0,30.0,30.11,30.14,419,1
51.0,10.0,74.0,70.0,87.0,8.0,190.0,30.03,30.05,420,1
51.0,10.0,76.0,72.0,87.0,10.0,230.0,29.83,29.85,421,0
51.0,10.0,70.0,61.0,73.0,11.0,360.0,29.93,29.96,422,0
51.0,10.0,76.0,56.0,50.0,24.0,10.0,29.9,29.92,423,0
51.0,10.0,71.0,67.0,87.0,13.0,10.0,29.95,29.97,424,0
51.0,10.0,72.0,68.0,87.0,6.0,330.0,29.93,29.95,425,1
51.0,10.0,78.0,72.0,82.0,9.0,220.0,29.8,29.83,426,1
51.0,10.0,67.0,44.0,44.0,9.0,360.0,30.16,30.18,427,0
51.0,10.0,64.0,58.0,81.0,7.0,230.0,30.19,30.22,428,1
51.0,10.0,70.0,60.0,71.0,14.0,230.0,30.09,30.12,429,1
